url,id,contributor,dish_name,location,food_tags,caption,Recipe URL
images/001 Large.jpeg,1,gautam,rajma chawal,NJ,Indian,Beans with rice,https://www.tarladalal.com/rajma-chawal-punjabi-rajma-chawal-4951r
images/002 Large.jpeg,2,gautam,paneer bhurji,NJ,Indian,"Scrambled cottage cheese with finely chopped onion, bell pepper and tomatoes",https://www.indianhealthyrecipes.com/paneer-bhurji-recipe/
images/003 Large.jpeg,3,gautam,moong dal,NJ,Indian,Yellow petite lentils,https://spicecravings.com/moong-dal
images/004 Large.jpeg,4,gautam,Butter chicken,NJ,Indian,Chicken in Creamy tomato based gravy,https://www.indianhealthyrecipes.com/butter-chicken/
images/IMG_0898.jpeg,5,gavin,porridge,UK,Scottish,"Porridge with fruits of the forrest, homemade granola, banana chips, and pumpkin seeds",https://www.kingshousehotel.co.uk/eat-drink/
images/IMG_5728.jpeg,6,gavin,baked potato,UK,Scottish,"Baked potato with Scottish Cheddar, Branston Pickles and a side salad of iceberg letture and cherry tomatoes ",https://aperturedata.io
images/IMG_5743.jpeg,7,gavin,haggis bonbons and steak and ale pie,UK,Scottish,"Haggis bonbons served with an apple puree, steak and ale pie served with chips",https://www.rowardennanhotel.co.uk/facilities
images/IMG_5786.jpeg,8,gavin,butter chicken with special fried rice and assorted naan breads,UK,Indian,"Butter chicken, special fried rice, garlic naan, peshwari naan",https://www.tajmahal-oban.co.uk/
images/IMG_5812.jpeg,9,gavin,duck breast and rump lamb,UK,British,"Pan fried duck breast, chump potato, roast candied beetroot, and port jus; roasted rosemary rump lamb, garlic crushed potatoes, hispy cabbage, and mint jus",https://www.kingshousehotel.co.uk/eat-drink/
images/IMG_5815.jpeg,10,gavin,traditional scottish and continental breakfast,UK,Scottish,"back bacon, scrambled eggs, potato scones, croissant, pain au chocolat, porridge with fruits of the forest and home-made granola",https://www.kingshousehotel.co.uk/eat-drink/
images/IMG_5819.jpeg,11,gavin,"won ton soup, chicken chow mein, katsu chicken",UK,Chinese,"won ton soup, chicken chow mein, katsu chicken with steamed rice",https://g.co/kgs/UkWnD6p
images/IMG_0674.jpeg,12,gavin,egg on toast,UK,British,"scrambled egg on brown toast, garnished with chives",https://aperturedata.io
images/20240730_151208.jpg,13,drew,vegetable tian with noodles,MD,French,"sauteed eggplant, tomato, zuchinni",https://www.simplefrenchcooking.com/recipe-entry/vegetable-tian
images/20240730_161426.jpg,14,drew,vegetable tian with noodles,MD,French,"eggplant, tomato, zuchinni in noodles with feta cheese",https://www.simplefrenchcooking.com/recipe-entry/vegetable-tian
images/ramen.jpg,15,Jiyoung,negi miso ramen,CA,Japanese,"green onion, bean sprouts, pork, noodles",https://japan.recipetineats.com/home-made-miso-ramen/
images/salmonsteak.jpg,16,Jiyoung,salmon steak,NV,Italian,"salmon, white beans",https://eatsmarter.com/recipes/salmon-with-asparagus-and-white-beans
images/SaltandPepperLobster.jpg,17,Jiyoung,Salt and Pepper Lobster,HI,Chinese,fried lobster,https://missadventureathome.blogspot.com/2009/09/salt-and-pepper-lobster.html
images/sushi.jpg,18,Jiyoung,sushi,CA,Japanese,nigiri sushi,https://www.masterclass.com/articles/nigiri-recipe
images/wafflensmoothie.jpg,19,Jiyoung,"waffle, smoothie",CA,American,"waffle, smoothie",https://www.tasteandtellblog.com/waffles/
images/AvocadoQuinoaSuperfoodEnsalada.jpg,20,Jiyoung,Avocado quinoa salad,CA,American,"salad, sandwich, chicken tenders",https://www.nutritionbymeagan.com/post/medocino-farms-copycat-avocado-and-crispy-quinoa-ensalada
